Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Serious Critical,Total Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop,Population
Guyana,4143,,124,,3192,827,10,5259,157,19266,24455,787816
Somalia,3941,,104,,3185,652,,246,6,,,16036385
Thailand,3780,5,59,,3590,131,1,54,0.8,977854,13998,69858456
Gambia,3670,,119,,2876,675,,1505,49,20772,8518,2438583
Mali,3554,9,136,,2753,665,,174,7,75176,3678,20438916
Martinique,3552,,30,,98,3424,16,9468,80,50071,133463,375167
Belize,3462,80,58,2,2148,1256,1,8655,145,22658,56646,399990
Uruguay,3082,,58,,2532,492,11,886,17,317516,91299,3477745
South Sudan,2905,2,58,,1290,1557,,259,5,12044,1072,11237041
Benin,2643,,41,,2330,272,,216,3,238105,19475,12225971
Burkina Faso,2477,,67,,2218,192,,117,3,,,21088463
Guinea-Bissau,2403,,41,,1818,544,5,1212,21,,,1983109
Sierra Leone,2365,,74,,1798,493,,295,9,,,8029914
Togo,2312,,55,,1640,617,,277,7,118291,14181,8341764
Yemen,2062,,599,,1366,97,,69,20,,,30039807
New Zealand,1957,7,25,,1857,75,,391,5,1096666,219241,5002100
Lesotho,1953,,44,,975,934,,909,20,22645,10543,2147881
Chad,1483,,98,,1314,71,,89,6,,,16577873
Liberia,1426,,82,,1279,65,2,280,16,30332,5952,5096300
Niger,1220,,69,,1137,14,9,50,3,37027,1512,24486175
Vietnam,1180,3,35,,1062,83,,12,0.4,1246480,12768,97628661
Curaçao,958,,1,,660,297,4,5830,6,12860,78263,164317
Sao Tome and Principe,945,,16,,904,25,,4286,73,6283,28496,220490
San Marino,928,,42,,721,165,3,27330,1237,10165,299367,33955
Channel Islands,841,,48,,713,80,10,4822,275,165849,951002,174394
Sint Maarten,822,,22,,753,47,6,19100,511,6776,157446,43037
Diamond Princess,712,,13,,659,40,4,,,,,
Turks and Caicos,703,,6,,689,8,1,18077,154,4261,109568,38889
Gibraltar,697,4,,,618,79,21,20690,,66214,1965507,33688
Papua New Guinea,589,,7,,575,7,,65,0.8,29254,3250,9002429
Burundi,585,3,1,,511,73,,49,0.08,49642,4135,12004819
Saint Martin,566,,9,,488,69,12,14557,231,6072,156165,38882
Taiwan,555,1,7,,515,33,,23,0.3,101944,4278,23831180
Comoros,545,8,7,,498,40,,622,8,,,875637
Liechtenstein,533,20,3,1,347,183,15,13966,79,9155,239879,38165
Tanzania,509,,21,,183,305,7,8,0.3,,,60283103
Faeroe Islands,494,,,,480,14,,10097,,153235,3132039,48925
Eritrea,463,,,,412,51,,130,,,,3562577
Mauritius,441,,10,,398,33,,347,8,260973,205091,1272473
Monaco,355,,2,,273,80,5,9025,51,51953,1320817,39334
Isle of Man,353,,24,,324,5,,4144,282,16108,189099,85183
Bhutan,348,2,,,319,29,,449,,170569,220255,774415
Mongolia,346,6,,,313,33,1,105,,89325,27104,3295615
Cambodia,291,,,,283,8,,17,,180378,10740,16795124
Cayman Islands,240,,1,,221,18,1,3638,15,46733,708323,65977
Barbados,236,,7,,218,11,,821,24,34998,121735,287493
Bermuda,199,,9,,176,14,,3199,145,85656,1377084,62201
Caribbean Netherlands,153,,3,,145,5,,5817,114,3353,127471,26304
Seychelles,153,,,,149,4,,1553,,5200,52766,98549
Brunei,148,,3,,143,2,,337,7,66995,152655,438865
Antigua and Barbuda,127,,3,,116,8,,1293,31,3597,36630,98198
St. Barth,83,,,,67,16,,8395,,3526,356630,9887
Saint Lucia,78,,,,28,50,,424,,10794,58693,183907
St. Vincent Grenadines,74,,,,70,4,,666,,6888,62022,111058
British Virgin Islands,71,,1,,70,0,,2343,33,5193,171397,30298
Dominica,50,8,,,33,17,,694,,4268,59240,72046
Macao,46,,,,46,0,,71,,4238,6498,652249
Fiji,34,,2,,31,1,,38,2,12527,13941,898601
Timor-Leste,30,,,,29,1,,23,,11268,8494,1326653
Grenada,28,,,,24,4,,248,,6252,55476,112697
New Caledonia,28,,,,28,0,,98,,15750,54992,286406
Vatican City,27,,,,15,12,,33666,,,,802
Laos,24,,,,22,2,,3,,65305,8933,7310279
Saint Kitts and Nevis,19,,,,19,0,,356,,3138,58848,53324
Greenland,17,,,,16,1,,299,,10937,192543,56803
Saint Pierre Miquelon,16,,,,12,4,,2766,,2404,415629,5784
Montserrat,13,,1,,12,0,,2604,200,483,96735,4993
Falkland Islands,13,,,,13,0,,3701,,2682,763450,3513
Western Sahara,10,,1,,8,1,,17,2,,,602103
MS Zaandam,9,,2,,,7,,,,,,
Solomon Islands,8,,,,4,4,,12,,115,166,692348
Anguilla,3,,,,3,0,,199,,1329,88323,15047
Marshall Islands,2,,,,,2,,34,,,,59323
Wallis and Futuna,1,,,,1,0,,90,,1046,93627,11172
Total:,46210349,318077,1197805,4565,33400770,11611774,83923,5928.4,153.7,,,
